亜,4e9c,Asia,rank next,come after,-ous,,,,,,,, 
唖,5516,mute,dumb,,,,,,,,,, 
娃,5a03,beautiful,,,,,,,,,,, 
阿,963f,Africa,flatter,fawn upon,corner,nook,recess,,,,,, 
哀,54c0,pathetic,grief,sorrow,pathos,pity,sympathize,,,,,, 
愛,611b,love,affection,favourite,,,,,,,,, 
挨,6328,push open,,,,,,,,,,, 
姶,59f6,good-looking,quiet,,,,,,,,,, 
逢,9022,meeting,tryst,date,rendezvous,,,,,,,, 
葵,8475,hollyhock,,,,,,,,,,, 
茜,831c,madder,red dye,Turkey red,,,,,,,,, 
穐,7a50,autumn,,,,,,,,,,, 
悪,60aa,bad,vice,rascal,false,evil,wrong,,,,,, 
握,63e1,grip,hold,mould sushi,bribe,,,,,,,, 
渥,6e25,kindness,moisten,,,,,,,,,, 
旭,65ed,rising sun,morning sun,,,,,,,,,, 
葦,8466,reed,bullrush,,,,,,,,,, 
芦,82a6,reed,bullrush,,,,,,,,,, 
鯵,9bf5,horse mackerel,,,,,,,,,,, 
梓,6893,catalpa tree,,,,,,,,,,, 
圧,5727,pressure,push,overwhelm,oppress,dominate,,,,,,, 
斡,65a1,go around,rule,administer,,,,,,,,, 
扱,6271,handle,entertain,thresh,strip,,,,,,,, 
宛,5b9b,address,just like,fortunately,,,,,,,,, 
姐,59d0,elder sister,maidservant,,,,,,,,,, 
虻,867b,gadfly,horsefly,,,,,,,,,, 
飴,98f4,rice jelly,candy,,,,,,,,,, 
絢,7d62,kimono design,,,,,,,,,,, 
綾,7dbe,design,figured cloth,twill,,,,,,,,, 
鮎,9b8e,freshwater trout,smelt,,,,,,,,,, 
或,6216,some,one,or,possibly,a certain,,,,,,, 
粟,7c9f,millet,,,,,,,,,,, 
袷,88b7,lined (kimono),,,,,,,,,,, 
安,5b89,relax,cheap,low,quiet,rested,contented,peaceful,,,,, 
庵,5eb5,hermitage,retreat,,,,,,,,,, 
按,6309,hold,consider,investigate,,,,,,,,, 
暗,6697,darkness,disappear,shade,informal,grow dark,be blinded,,,,,, 
案,6848,plan,suggestion,draft,ponder,fear,proposition,idea,expectation,worry,table,bench, 
闇,95c7,get dark,gloom,disorder,,,,,,,,, 
鞍,978d,saddle,,,,,,,,,,, 
杏,674f,apricot,,,,,,,,,,, 
以,4ee5,by means of,because,in view of,compared with,,,,,,,, 
伊,4f0a,Italy,that one,,,,,,,,,, 
位,4f4d,rank,grade,throne,crown,about,some,,,,,, 
依,4f9d,reliant,depend on,consequently,therefore,due to,,,,,,, 
偉,5049,admirable,greatness,remarkable,conceited,famous,excellent,,,,,, 
囲,56f2,surround,besiege,store,paling,enclosure,encircle,preserve,keep,,,, 
夷,5937,barbarian,savage,Ainu,,,,,,,,, 
委,59d4,committee,entrust to,leave to,devote,discard,,,,,,, 
威,5a01,intimidate,dignity,majesty,menace,threaten,,,,,,, 
尉,5c09,military officer,jailer,old man,rank,,,,,,,, 
惟,60df,consider,reflect,think,,,,,,,,, 
意,610f,idea,mind,heart,taste,thought,desire,care,liking,,,, 
慰,6170,consolation,amusement,seduce,cheer,make sport of,comfort,console,,,,, 
易,6613,easy,ready to,simple,fortune-telling,divination,,,,,,, 
椅,6905,chair,,,,,,,,,,, 
為,70ba,do,change,make,benefit,welfare,be of use,reach to,try,practice,cost,serve as,good 
畏,754f,fear,majestic,graciously,be apprehensive,,,,,,,, 
異,7570,uncommon,queerness,strangeness,wonderful,curious,unusual,,,,,, 
移,79fb,shift,move,change,drift,catch (cold, fire),pass into,,,,,, 
維,7dad,fiber,tie,rope,,,,,,,,, 
緯,7def,horizontal,woof,left & right,latitude,,,,,,,, 
胃,80c3,stomach,paunch,crop,craw,,,,,,,, 
萎,840e,wither,droop,lame,,,,,,,,, 
衣,8863,garment,clothes,dressing,,,,,,,,, 
謂,8b02,reason,origin,history,oral tradition,,,,,,,, 
違,9055,difference,differ,,,,,,,,,, 
